"gbifID","species","decimalLongitude","decimalLatitude"
912548252,"Pentameris barbata",NA,NA
912548315,"Pentameris barbata",NA,NA
912548277,"Pentameris barbata",NA,NA
912548321,"Pentameris barbata",NA,NA
912548254,"Pentameris barbata",NA,NA
912548272,"Pentameris barbata",NA,NA
912548274,"Pentameris barbata",NA,NA
912548301,"Pentameris barbata",NA,NA
912548278,"Pentameris barbata",NA,NA
912548258,"Pentameris barbata",NA,NA
912548294,"Pentameris barbata",NA,NA
912312856,"Pentameris barbata",NA,NA
912548242,"Pentameris barbata",NA,NA
912548297,"Pentameris barbata",NA,NA
912548305,"Pentameris barbata",NA,NA
912312891,"Pentameris barbata",NA,NA
912548232,"Pentameris barbata",NA,NA
912548308,"Pentameris barbata",NA,NA
912548261,"Pentameris barbata",NA,NA
912548298,"Pentameris barbata",NA,NA
912548248,"Pentameris barbata",NA,NA
912548266,"Pentameris barbata",NA,NA
912548284,"Pentameris barbata",NA,NA
912548285,"Pentameris barbata",NA,NA
912548271,"Pentameris barbata",NA,NA
2005504251,"Pentameris barbata",18.583889,-33.496111
3419269266,"Pentameris barbata",18.794444,-33.590833
1096614748,"Pentameris barbata",NA,NA
1231028612,"Pentameris barbata",NA,NA
